Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
PTCD3	6.006216599	5.752809204	5.788158336	5.672938515	5.590518609	5.4546215	5.57164148	5.604604662	5.574627699	5.51370536
PTCH1	3.490757755	3.687861901	3.968074038	4.073326825	3.471589891	3.355577671	3.536743861	3.609360662	3.489527691	3.31715964
PTCHD3P1	4.078667886	4.005623734	3.959022256	3.871972937	3.929646321	4.339883971	3.939800735	3.940100686	4.56204452	3.841906922
PTDSS1	7.450938373	7.314299138	7.479735508	7.429643136	7.16011597	7.186126962	7.447955087	7.448380865	7.436238984	7.359175158
PTDSS2	4.971753	5.376658415	5.245438978	5.257295588	5.504925844	5.566578751	5.160480727	5.500454977	5.380836005	5.529994185
PTEN	5.845068822	5.682505066	5.459538308	5.568967182	5.632007514	5.664443095	5.522765204	5.378700887	5.329698068	5.519543932
PTENP1	3.356348621	3.19890214	3.225379918	3.005449267	3.374644272	3.252210406	3.558461473	3.104684613	2.1927802	2.959924468
PTER	3.418153953	2.81249748	3.592250859	3.245111922	3.976650173	3.971365677	4.000559213	3.531509361	2.985586489	3.311786224
PTGER2	2.000008723	2.196112929	1.701020426	1.488485198	0.980582982	0.235034068	1.394096497	0.79304692	2.430394276	1.860293296
PTGER4	2.551419588	2.387853623	2.45153799	2.174769809	2.247582274	1.924314872	2.190464202	2.601232882	3.169840176	2.838128627
PTGES	1.726989623	2.208872961	1.877927962	0.999796496	1.627939372	2.148130353	1.846545939	2.365170966	2.031454419	2.688605158
PTGES2	6.092586362	6.446629813	6.579243666	6.406248536	6.938495504	6.958364255	6.661104124	6.906247418	5.844053617	6.13525722
PTGES3	7.693258183	7.27994376	7.256272393	7.476112825	7.476817462	7.53009397	7.803541248	7.744007	7.007382465	6.992691537
PTGES3L	1.229488517	1.151393241	1.341131802	0.97634086	1.244751325	1.523815853	0.769012851	1.486093787	2.469686647	1.769133729
PTGES3P1	5.709986489	5.14897035	5.509992887	5.353745636	5.510640664	5.550329074	5.833401811	5.642131492	4.830795259	5.12685786
PTGFRN	7.884340022	7.995426356	8.066398073	8.070537729	7.706044192	7.667766747	7.96749488	7.94595114	7.764915426	7.941423158
PTGR1	6.316332034	6.081568948	5.71297587	5.967987557	5.878210583	6.11028821	5.91247493	5.896946889	6.901810622	6.581704284
PTGR2	2.617762172	2.421131594	2.905524978	2.76655565	2.883675009	2.781197361	2.748641533	2.865773626	3.349094855	2.637975483
PTGS1	3.422800321	3.918975207	3.697590435	3.521165533	3.152871547	2.83941981	2.567721536	2.629979332	4.939746533	4.804159948
PTGS2	4.237427042	3.569177428	3.88767144	4.172123701	4.536351769	4.474575148	4.251162268	4.269610798	4.38838704	4.488907535
PTK2	6.41174162	6.309702853	6.416295128	6.344609679	6.42865256	6.260349487	6.422173164	6.399326735	6.040329558	5.927868592
PTK2B	4.039875385	4.268923615	4.496135214	4.439878099	4.67105287	4.451427052	4.363372604	4.437566924	4.704728735	4.594463749
PTK6	2.508350806	2.421131594	3.382583334	3.264607521	3.597221663	3.262886841	3.652337243	3.740368486	3.038809658	3.152579991
PTK7	5.941312068	6.031270042	6.326475916	6.265175495	6.021990578	5.641103902	6.200980062	6.351042355	5.946832788	6.228034437
PTMA	8.505344068	8.480454359	8.330144994	8.466015995	7.965848025	8.080086461	8.377404356	8.306624415	8.295401532	7.983852198
PTMAP2	5.485216091	5.559629445	5.777041872	5.661034333	5.08366847	5.529479867	5.524145477	5.498507697	5.13569411	5.189724607
PTMAP5	6.683127138	6.925294946	6.349748991	6.509436272	6.059121703	6.168228022	6.491549511	6.232448156	6.642889125	6.109939238
PTMS	8.008536803	8.508302505	8.045526636	8.003588422	7.517688587	7.392846164	7.336101029	7.696809177	7.287155825	7.856784499
PTOV1	4.659699564	4.965650865	4.730501747	4.826770707	4.571771136	4.423149977	4.559205099	4.862351497	4.862509171	4.782957291
