Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
A2M	7.875893306	7.832605875	7.500939871	7.609786433	7.187845434	6.802444861	7.202824001	7.194835425	7.139646948	7.123041976
A2M-AS1	1.68118582	0.922660326	1.595940332	1.890996438	1.983982123	1.272307658	2.059516279	1.796167443	1.977954105	1.332967291
A4GALT	5.194598369	5.644264694	5.693096863	5.503812236	5.241832283	5.331972634	5.379134454	5.60369916	5.824295218	6.080223947
AAAS	6.06312755	6.311922311	6.179004829	6.051728867	6.323488971	6.256348035	6.043378102	6.219502526	6.059772343	6.000639854
AACS	5.667551216	5.810457883	5.745803135	5.811932806	5.638285835	5.658390917	5.483571445	5.687280326	5.769259841	5.552949467
AADAT	3.291776567	3.050847982	3.400524808	3.394163518	3.359523749	3.447358827	3.858973965	3.788975488	3.421019327	3.284614778
AAED1	2.814454324	2.516593736	2.918034939	2.793648199	2.938972878	3.045148618	3.171395133	3.424815129	2.685311998	2.721397359
AAGAB	6.115010254	5.859836097	5.943849478	5.918078264	6.151999946	6.056842231	6.180117987	6.006512558	5.521863096	5.822235362
AAK1	3.158837621	3.508543494	3.298965511	3.127592262	3.736387674	3.827749518	3.325001284	3.184369351	4.828907845	3.300978977
AAMDC	2.311953295	2.061892274	2.102790307	2.056721734	1.787089701	1.897159768	1.810800188	1.704540476	2.469686647	2.721397359
AAMP	6.486326414	6.838151128	6.700516263	6.821010533	7.036822562	7.067440167	6.741622892	6.782876616	6.656787633	6.622423969
AAR2	5.758579265	6.006817986	5.827648739	5.82183688	5.854138982	5.982085029	5.736704488	5.745087864	5.548486608	5.703130906
AARS	7.770248263	8.012130058	9.027811539	8.870356263	9.258729486	9.393546409	8.860826601	8.961429968	8.224310467	8.38962205
AARS2	5.017011624	5.068995249	5.159809042	5.13419648	5.091316024	5.257855912	5.022750667	5.152201056	5.268348404	5.3646878
AARSD1	1.910211866	1.097519229	1.757799478	1.488485198	1.997068862	1.977138188	1.575453073	1.986028841	2.057478519	0.917843763
AASDH	3.060892479	2.845557113	2.990898834	2.637919077	2.890704271	2.781197361	2.999463802	2.853637534	2.718312559	2.830633617
AASDHPPT	4.29937698	3.96858815	3.744000695	4.076087919	4.321686035	4.291170742	4.280860353	4.239613861	3.14578235	3.30639272
AASS	3.589112895	3.17958559	3.422642368	3.433451609	3.522257712	2.9225717	3.164330839	3.287210796	4.061887373	3.864103361
AATF	5.866544289	6.163329235	6.199005404	6.012629215	6.437079746	6.931011873	6.375526782	6.270602323	5.894554764	5.699020625
AB019441.29	6.739617566	6.842251787	6.870660057	6.857577468	6.864109758	7.309691576	7.043510967	6.891112517	6.900463307	6.690253498
ABC7-42389800N19.1	4.072767282	4.244343725	4.038513661	4.283822286	4.614856469	4.050522469	4.154653517	4.283247942	4.029383846	4.030357564
ABCA1	2.856274547	2.901648941	3.220338149	3.143474793	2.727549156	2.704951026	2.059516279	1.986028841	3.32251307	3.338455374
ABCA2	7.436938449	7.862691984	8.069029721	7.991024975	7.762457763	7.545479174	7.600658903	7.780924461	7.708547839	8.019723369
ABCA3	4.98752032	5.042508922	5.65249774	5.443080641	5.607684279	5.742802686	5.648327854	5.83579553	4.600167193	5.020529536
ABCA4	2.370847078	2.399031787	2.145972207	1.988013756	2.236589567	2.530378504	2.162374534	2.356596446	3.038809658	3.103667869
ABCA5	2.910213413	2.625293459	2.867330758	2.846353143	2.552454083	2.781197361	3.150097623	3.099555103	3.669044341	3.455156593
ABCA7	6.642374488	7.050642017	7.232054325	7.111488786	6.510787955	6.493522914	6.206148782	6.545591271	7.167171664	7.339176055
ABCA8	3.142029318	2.869863988	2.7107683	2.738944575	2.679652278	1.977138188	1.965110618	2.202445772	3.410961343	2.845584901
ABCB1	3.356348621	3.30373061	2.746278418	2.946316263	2.811431897	3.203163899	2.767411744	2.791376792	4.029383846	4.013906587
ABCB10	4.576658376	4.278034169	4.625719368	4.62661371	4.305997072	4.216244709	4.797009579	4.737474921	4.398603081	4.188241348
ABCB6	2.942929023	2.804112831	3.002692907	3.245111922	3.419077629	3.192034473	3.29943496	3.361943422	3.187623877	2.911011986
ABCB7	4.936446122	4.562819132	4.698227303	4.980574593	4.5869978	4.559298825	4.685470993	4.591651144	4.704728735	4.661478584
ABCB8	5.614721238	6.015922695	5.802567193	5.903384448	5.537761028	5.523942785	5.14082089	5.44491233	6.142642295	5.876928499
ABCB9	3.341701833	3.513694798	3.230404129	3.335455819	2.489025412	2.512595663	2.578390518	3.155000919	3.832448072	3.585558353
ABCC1	8.039876047	8.150014812	8.262624328	8.2145401	8.405186173	8.150051171	8.193154825	8.312593859	7.832176826	8.101796539
ABCC10	4.344153887	4.371793474	4.689132542	4.841450457	4.658752587	4.382117609	4.411899271	4.459754781	4.518209642	4.607679614
ABCC2	1.568291468	1.416346241	1.16340278	1.022876879	1.523276765	1.593140343	1.369735919	1.337152154	1.271341983	2.040020289
ABCC3	8.065729476	8.170951872	8.76869739	8.739211223	9.385902576	9.065652265	8.962066201	9.164049792	9.012107003	8.820709313
ABCC4	4.803808317	4.804758102	5.02607293	5.008305303	5.011341073	5.113432159	5.282942698	5.08501338	4.654461133	4.594463749
ABCC5	5.949385369	5.949999317	5.764107835	6.085692366	5.829658917	5.562263369	5.917735546	5.958447398	5.788810486	5.883282043
ABCC6	1.584970255	1.640107526	1.204833309	1.70373308	1.370754418	1.251015721	1.575453073	1.421787778	2.379724378	1.860293296
ABCC8	1.16439326	1.640107526	1.264830235	1.195321507	2.073190243	1.541461768	1.658241911	1.66341739	1.248931354	1.493459129
ABCC9	1.665588925	1.9447312	1.798963781	1.878397364	1.902866241	2.248234857	1.678217534	1.783428806	3.55492979	2.026962699
ABCD1	5.662649087	6.210884349	6.2053985	5.935667579	5.87289594	6.006113695	5.587572404	5.878348051	5.535814904	6.042603438
ABCD3	6.115010254	5.917330902	5.513088471	5.706291718	5.545576044	5.600644848	5.828941211	5.673538259	5.462233039	5.560898296
ABCD4	4.534347556	4.512243142	4.751623779	4.921927025	5.136369097	4.705387229	4.673081396	4.797309178	4.884483007	4.815595027
ABCE1	5.503974153	5.100150037	5.194930288	5.258511504	5.543347499	5.410891491	5.613739145	5.44491233	4.979422524	4.749564076
ABCF1	7.261944345	7.634339265	7.387727115	7.419079864	7.41020006	7.52483649	7.333741578	7.39677953	7.40870387	7.236925702
ABCF2	6.734487564	6.742663623	6.860973844	6.905711102	7.271006095	7.277476758	7.136688831	7.177900608	6.629397709	6.692322629
ABCF2P1	4.258373989	3.907279649	4.31643845	4.281431773	4.834899664	4.821878779	4.750596071	4.441626544	3.70653238	3.946160045
ABCF3	6.073506697	6.105649335	6.235072304	6.128881796	6.203716482	6.387141911	6.079501453	6.174475699	6.438987561	6.445427391
ABCG1	5.221515108	5.488154125	6.390156103	6.138819993	6.388247583	6.133744095	5.501901047	5.764663909	5.513661794	5.881469598
ABHD10	4.167169551	4.319805533	3.968074038	3.96130216	4.066298978	3.911557527	4.100167884	3.954377725	4.270959881	4.369852373
ABHD11	3.838997349	3.879615553	4.51684464	4.230293679	4.385280114	4.604069601	4.303543485	4.439598162	4.648052722	4.460052088
ABHD12	5.825902299	6.153462166	6.034248926	6.019100295	5.548912421	5.649264777	5.693192787	5.627950416	6.226037953	6.334542689
ABHD13	4.263563547	3.964831759	3.668269994	3.903404846	3.748046138	3.884158929	3.927335834	3.823607809	3.895123412	4.017211824
ABHD14A	4.98752032	5.511516766	5.262707384	5.196424291	4.750479127	4.911118062	4.944501186	4.871408426	5.621174691	5.575545211
ABHD14B	5.301901678	5.573262509	5.89959034	5.741502431	5.657988832	5.818934426	5.586251526	5.702585285	5.553067044	5.673062608
ABHD15	4.97492028	5.054929744	4.971605634	4.923460977	4.845791519	4.730604419	4.958862115	5.081115094	4.991284396	5.030377458
ABHD16A	1.962206613	2.54706054	2.102790307	2.21540929	2.516551286	2.361843576	2.013085514	2.103425559	3.051814217	2.721397359
ABHD16B	2.229490997	2.43205583	2.674362042	2.545312262	2.604686645	2.077314254	2.089660203	2.431992047	2.797655215	2.267995342
ABHD17A	5.088936568	5.503771179	5.335625593	5.314533559	5.043234236	4.875038457	5.158704499	5.192507396	5.389825774	5.557497016
ABHD17B	4.346601208	3.990923392	4.003723709	3.871972937	4.084805535	3.901343932	4.062666285	3.948683853	4.383251763	3.925199809
ABHD17C	4.237427042	4.278034169	4.243761395	4.127568978	3.888101318	3.9582876	4.306755014	3.899356559	3.70653238	3.79261005
ABHD2	6.117161925	6.085033709	6.196440211	6.100006904	6.103663727	5.915134628	6.071971339	6.079322107	6.176432776	6.469756845
ABHD3	5.268734807	5.234136901	4.843023173	4.964272927	4.664915837	4.631104325	5.124533881	5.045548248	6.293286539	6.022185535
ABHD4	6.137090937	6.300790718	6.64374533	6.543751623	6.845237466	6.794648373	6.082315144	6.25569212	6.473224397	6.653554898
ABHD5	5.238745482	5.175214885	4.935143183	4.97022214	5.03215165	5.185347472	4.906902981	4.681931518	5.371789867	5.24856042
ABHD6	4.611671977	4.762107313	4.412402421	4.222837987	4.529612729	4.522009819	4.561895571	4.692190675	4.624308624	4.680365378
ABHD8	3.96857838	4.478391665	4.6276248	4.547251245	4.395199984	3.987548301	4.481759618	4.46375253	4.78869084	5.013926709
ABI1	5.100583012	4.910086784	4.843023173	4.926523996	4.614856469	4.6393218	4.697755095	4.528164532	4.650192023	4.821278756
ABI2	5.932378942	5.911488306	5.721029896	5.880664479	5.808472799	5.64519011	5.86533518	5.804613621	5.737417056	5.805127969
ABL1	8.193919252	8.410891617	8.45155451	8.46654219	8.361581572	8.226527497	8.138329244	8.220202401	8.108502309	8.42131016
ABL2	5.531123906	5.646611371	5.617450383	5.435575013	5.795422903	5.824350432	5.616329905	5.630620008	6.246685085	5.987219244
ABLIM1	7.69397911	7.760496576	7.892882983	7.814203078	8.089371236	8.172166631	7.78523822	7.710542686	7.797853001	7.965576508
ABLIM2	2.445809249	2.410124006	2.732179081	2.437789192	3.093183849	3.075746577	3.007380976	2.965005439	2.216073128	2.567580933
ABLIM3	1.649821569	1.621140478	2.012344206	1.773436158	2.687746335	2.83941981	2.074666968	2.480152108	2.169105019	2.354159811
ABR	6.4332012	6.658541146	6.559915919	6.561100801	6.532859696	6.419112509	6.40953237	6.539922065	6.322420882	6.557503919
ABRACL	3.512717023	2.869863988	2.930437356	3.13290589	2.543561799	2.720526072	3.29943496	3.269049412	3.782612637	3.390358747
ABT1	4.623829596	4.848224517	4.681815227	4.517089642	4.72514211	4.777894066	4.420819068	4.64367784	4.900746497	4.653004429
ABTB1	4.387582786	4.735898183	4.734043631	4.871959039	4.640103265	4.425527684	4.396909285	4.58799298	4.628654901	4.871449139
ABTB2	4.96061244	5.105277715	5.063153124	5.155238728	4.912926944	4.711245826	4.521001966	4.734168846	5.221640361	5.654079336
AC000068.5	1.389953711	1.151393241	1.39582121	1.488485198	1.177367225	0.772086754	1.344956926	1.301856923	1.315145154	1.474347227
AC000089.3	4.878432172	5.362452455	4.419018794	4.636000071	4.538591139	5.149837873	4.769341034	4.65595984	5.290461716	4.889596763
AC000110.1	3.517069051	2.893768112	3.179356846	3.293365679	3.744170442	3.772784321	3.730944494	3.591202087	2.944339621	3.188205684
AC002056.3	3.933192763	3.583945936	3.552684425	3.776745378	3.33396529	3.738771094	3.800941244	3.645006206	3.127471993	3.211476604
AC002519.6	3.43665031	3.133481669	3.184543625	3.148730351	3.40932114	3.447358827	3.22669772	3.246021379	2.951296513	3.097435588
AC003665.1	1.771383849	1.542675785	2.559283478	1.964364183	2.311835571	2.361843576	2.20430657	2.321779472	1.977954105	1.87494188
AC004014.4	4.486326025	4.609277752	4.228776083	4.127568978	3.804965803	4.053600161	4.070244996	3.772954429	4.009524319	3.796462501
AC004057.1	4.394695515	4.644927231	3.988976586	4.227812727	4.031741135	4.306732294	4.378713259	4.258147206	4.24854327	4.217271107
AC004074.3	4.611671977	4.772888801	4.25613134	3.312224167	3.660278884	4.996757315	4.055047552	3.679792228	4.087373026	4.49366116
AC004381.6	3.576657888	3.732730414	3.619315559	3.634144067	2.833487192	3.081789059	3.292971955	3.109795951	4.688166715	4.146592606
AC004386.4	6.027726831	6.311182871	5.486036799	5.573859308	5.609815698	6.286091848	5.939623028	5.463997813	5.728333168	5.631611793
AC004447.2	2.641874659	2.453659232	2.717940591	2.637919077	2.516551286	2.521514483	1.846545939	2.295103996	2.554366891	2.637975483
AC004453.8	8.144669832	8.313087455	8.423449566	8.395370136	8.455681364	8.924430656	8.689804008	8.602874713	8.214224013	8.419125438
AC004463.6	1.370844829	1.601920745	1.548452336	1.839926208	1.627939372	1.139570866	1.881427386	1.717991746	0.862788993	1.222763891
AC004540.5	1.04891561	1.50178284	1.142232635	1.274383599	1.350503386	0.647259696	1.186619314	1.337152154	0.89200808	1.24548832
AC004797.1	3.499581612	3.42898176	3.453048131	3.641619018	3.399498221	3.129238892	3.976561998	3.820493546	2.608179342	3.128331205
AC004840.9	1.771383849	1.480893327	1.611428543	1.615385096	0.813099447	1.018791018	1.394096497	1.2656765	1.055888643	1.199675784
AC004893.11	1.711882694	1.394172441	1.81242828	2.164428514	2.191761492	1.869483717	2.074666968	2.029831791	2.169105019	1.800164683
AC004941.5	4.122169545	4.187458258	4.200892095	4.103412053	4.271407456	4.423149977	4.447252264	4.19221132	3.95518892	3.594436837
AC004947.2	1.910211866	1.73137347	1.284287274	1.504971673	0.752653136	1.753143541	0.944210529	1.090599763	1.977954105	2.128256851
AC004967.7	1.370844829	1.677309549	1.838986055	1.488485198	1.559014632	1.541461768	1.617441264	1.421787778	1.378452899	1.199675784
AC004980.7	2.869949499	2.221521124	2.814779439	2.717883856	3.215795951	2.942631832	3.038622221	2.746138261	2.083041488	2.374920187
AC004987.9	4.580822002	4.679716999	4.667068305	4.674769207	4.372783581	4.322127782	4.284122718	4.278716535	4.608992707	4.598882502
AC005003.1	2.000008723	2.258813599	2.468647055	2.454861822	2.109795906	2.065166097	2.20430657	2.230873392	2.992347758	2.078498598
AC005014.5	4.517069559	4.764270066	5.1492364	5.24630598	5.73714325	5.58583981	5.091397657	5.22819728	4.593512447	4.648748612
AC005076.5	1.370844829	1.069808522	1.341131802	1.454936051	1.244751325	0.801676048	1.596599916	1.354481154	1.003303385	1.567471256
AC005102.1	1.949382546	1.766322354	1.499347858	1.786981578	1.593888573	1.753143541	1.792589603	1.796167443	1.589365336	1.267860351
AC005154.6	4.175452993	4.134938824	4.20344939	4.502795483	4.59777643	4.3246778	4.390869407	4.586160415	4.303944946	4.303721309
AC005229.7	4.096226266	3.899429603	3.968074038	3.800313368	4.041248393	4.439712218	4.154653517	4.128163584	3.295432304	3.680340021
AC005255.3	2.260969282	1.56269565	2.518789537	2.358358977	2.432346187	2.556648411	2.373123027	2.339292987	2.958220018	2.464813262
AC005351.1	1.351479443	1.56269565	1.39582121	1.067958605	1.410423139	1.487863026	1.241352256	1.151350197	1.589365336	1.704994722
AC005702.1	0.534340028	0.687635433	1.431161996	1.174859943	1.410423139	1.505951433	1.214245327	0.714697267	0.707097396	1.026803161
AC005740.4	1.119305205	0.859324522	1.245107196	1.045593826	1.200180086	1.523815853	1.394096497	1.337152154	0.739608907	0.737225633
AC005795.1	4.191878549	4.247439211	4.385629254	4.259737019	4.205285665	4.369823774	4.408913708	4.123117022	4.245716543	4.292853249
AC005822.1	3.49517643	3.236776236	3.40497553	3.588462306	3.696831317	3.246842412	3.626867424	3.713759205	2.545199719	3.268062832
AC005943.5	1.000005815	1.041555118	1.785372434	1.312347079	1.74116047	1.768209567	1.717357699	1.486093787	1.003303385	1.530939755
AC006026.10	3.321938563	2.877876118	3.341380143	3.641619018	3.494841538	3.129238892	3.497933157	3.428910739	2.750575108	3.033585669
AC006026.9	2.793080649	2.653570614	2.390006054	2.576846328	2.727549156	2.632704486	2.900905384	2.719636169	2.238995948	2.000487534
AC006028.11	1.828527888	1.371652509	1.798963781	1.865687292	1.559014632	2.371741423	1.915485342	1.405253209	1.964263177	1.620590521
AC006042.8	2.012392472	2.047757007	1.865063767	1.569095775	1.541256356	2.065166097	1.678217534	1.470284003	2.057478519	1.753364317
AC006116.22	3.08454377	3.279741546	2.847847645	3.089838574	2.711759557	2.704951026	3.29943496	2.765700155	3.071103867	2.713268921
AC006262.4	1.04891561	1.25345733	0.724696691	1.293490208	1.006699726	0.398878043	0.80579583	1.069767528	1.788957737	2.374920187
AC006262.5	4.869950692	4.868471373	4.635221459	4.630375586	4.222102386	4.035034752	4.035822813	3.962876619	5.497117985	5.405618505
AC006262.6	2.711884469	2.708514626	2.49393613	2.696511128	2.719675958	2.448570662	2.456453706	2.895674589	2.400206381	3.084889671
AC006273.5	2.876738672	3.029428246	2.814779439	2.820241337	3.354448152	2.988381766	2.926183368	3.025758489	2.420401666	2.040020289
AC006465.4	3.191877912	3.569177428	3.137177306	3.23526443	2.869512898	2.902228701	2.942792605	2.785000348	3.273395633	3.34373055
AC006483.5	3.43665031	3.255346838	2.703560174	3.12225899	3.466894252	2.795974732	3.312274755	3.184369351	2.507937187	3.059465712
AC006486.1	1.229488517	1.542675785	1.448512959	1.732019698	1.222637824	1.450991284	1.129727751	1.43813499	1.248931354	1.052804068
AC006509.7	1.311950952	0.922660326	1.142232635	1.385402449	1.266530982	2.136566439	1.575453073	1.354481154	0.862788993	1.889443223
AC006978.6	3.542909074	3.830921175	3.158421219	3.541286638	3.428768581	3.845615539	3.525761215	3.300683355	3.689991171	3.262503046
AC007041.2	4.003116816	3.518827775	3.88767144	3.855996394	3.823450689	4.403985914	4.107552628	3.779384218	3.718815003	3.696923485
AC007193.6	1.408812796	1.203327668	0.91145903	0.660364023	0.926886858	0.91431396	0.769012851	0.960840098	2.599348837	1.267860351
AC007229.3	1.696615899	1.882378041	1.431161996	1.745957711	1.677554517	1.990047253	2.190464202	1.704540476	0.89200808	1.454978741
AC007237.2	2.741941739	3.099624259	2.689034973	3.210347551	2.638486488	2.902228701	3.069201258	2.981829785	3.175792467	3.199888064
AC007238.1	6.087474301	6.002243993	5.835913282	5.899492651	5.835134942	5.873942839	5.853305579	5.750825035	5.732377514	5.826951635
AC007256.5	2.525732908	1.929393733	1.743812833	1.773436158	2.363277027	2.616146253	2.028729057	2.133851691	2.1927802	2.425550582
AC007318.5	6.036090305	5.792556439	5.700357325	5.658273209	5.84059026	6.017191567	5.907195061	5.630620008	5.599196651	5.977071216
AC007383.6	5.191878867	5.336523806	4.955007988	4.768219119	4.721204309	5.324347775	4.757654004	4.508947639	5.672594905	5.214411788
AC007389.1	1.208114792	1.371652509	1.303485391	1.437864305	1.03235208	1.293289924	1.158453949	1.22856534	0.948728688	1.24548832
AC007395.4	2.04891842	1.882378041	1.743812833	1.471808143	1.983982123	1.937703126	2.104499221	1.649445018	0.80251322	1.784732635
AC007560.1	1.16439326	1.677309549	1.641914889	1.133045069	1.505070272	1.487863026	1.418052557	1.151350197	1.725446329	1.474347227
AC007620.3	2.427430692	2.143913366	2.00062909	1.745957711	1.449030244	1.593140343	1.717357699	2.061832735	1.534833008	1.753364317
AC007969.5	6.424539806	6.760649417	6.734951374	6.566019629	6.550720989	6.959595308	6.6629849	6.792842072	6.216685545	6.748091038
AC008265.2	1.311950952	1.713576329	1.359592916	1.584691156	1.576556975	1.797877676	1.617441264	1.770576687	0.375906572	0.53071475
AC008427.2	4.399417927	4.275003706	4.02122355	4.302805116	4.426976446	4.715138381	4.540229983	4.467739231	4.284795423	4.34376257
AC008592.3	2.240060257	2.047757007	2.248589705	1.488485198	1.559014632	1.990047253	1.532206131	1.517202905	2.044525147	2.164480726
AC009005.2	1.481876474	1.621140478	1.838986055	1.865687292	1.370754418	1.964112571	1.997270481	1.66341739	1.725446329	1.959840907
AC009133.12	1.814452671	1.800444596	1.903317261	1.952392411	1.860531323	1.706977813	1.100417932	1.621087639	1.378452899	1.63787103
AC009229.5	1.311950952	1.480893327	1.532269174	1.660235266	1.816916462	2.040558527	2.310509236	2.133851691	1.131338533	1.24548832
AC009229.6	1.16439326	1.50178284	1.499347858	1.615385096	1.860531323	1.41315242	1.678217534	2.163649373	2.616956126	1.415443789
AC009237.8	0.869944726	1.041555118	1.499347858	1.235394077	1.329964041	1.393854198	1.186619314	1.301856923	2.379724378	1.052804068
AC009245.3	3.197311803	3.723867652	2.794568468	3.312224167	3.29210594	3.652086984	3.469557749	3.099555103	2.820631383	3.097435588
AC009299.3	1.351479443	1.783484354	1.303485391	1.826871088	2.010037958	2.182276139	1.717357699	2.113639067	1.458760759	0.830359413
AC009299.5	1.936443463	2.421131594	1.890678463	2.100773972	1.709708	1.73791852	2.028729057	1.963618327	0.569188653	1.512321155
AC009362.2	1.534344043	1.989788892	1.48260113	1.367482488	1.309128052	2.040558527	1.717357699	1.470284003	2.305656905	1.311589788
AC009403.2	1.923387283	2.295166335	2.167087948	2.143520849	2.258491855	2.657190866	2.599494661	2.601232882	2.070316621	2.199817307
AC009945.4	2.060891085	2.557074822	2.717940591	2.496679877	2.525611096	2.590947025	1.997270481	2.09313923	2.250322208	2.385189412
AC009948.5	2.883496046	2.48546963	2.760241296	3.127592262	3.29210594	3.447358827	3.076745806	2.810338752	2.488938681	2.671925244
AC009948.7	4.306936975	4.443726771	3.679335107	4.089814673	4.303365577	4.194102576	4.357190374	4.447694635	3.77479052	3.64659003
AC010150.1	3.726992258	4.247439211	3.576554259	3.742394588	3.152871547	3.619227875	2.909380686	2.99846019	3.751066442	3.796462501
AC010240.3	1.568291468	1.416346241	1.225110782	1.21549692	1.287986727	0.830670651	1.394096497	1.247240245	1.293409806	1.753364317
AC010468.1	4.250554481	3.230532532	4.02122355	3.710763653	3.936455646	4.131398932	4.028060609	4.015570576	3.04532659	3.878713506
AC010492.2	2.119307882	2.234059364	2.102790307	1.903486436	1.943994202	2.01552394	2.258384934	1.882320986	1.398952833	1.311589788
AC010642.1	0.696612311	0.826582462	1.611428543	1.615385096	1.486631077	0.941151058	1.48762263	1.731318758	0.862788993	1.12810813
AC010761.8	1.584970255	2.157141386	2.069533947	1.976237429	1.725519946	1.977138188	1.678217534	1.731318758	3.909483107	1.654947001
AC010878.3	5.303162224	5.188160264	5.265157513	5.15262517	5.432114711	5.644169642	5.324729145	5.12089825	5.212983098	5.089664465
AC010890.1	1.208114792	1.203327668	1.322431389	1.195321507	0.980582982	1.393854198	1.418052557	1.337152154	1.179531814	1.222763891
AC010894.3	1.229488517	1.542675785	1.184266762	1.255020548	1.541256356	1.593140343	1.100417932	1.517202905	1.893789094	2.000487534
AC010894.4	3.202725304	2.877876118	3.163683676	3.159184378	2.811431897	3.026473422	3.29943496	2.953679208	2.978793384	3.435526974
AC010904.1	2.673410273	2.526820993	2.652068985	2.61531868	2.604686645	2.485503536	2.729623888	2.822843001	2.169105019	2.567580933
AC010970.2	12.51880042	13.37898734	13.20120921	12.70045919	12.47742864	12.57659334	12.43170103	12.25022795	13.45033842	13.30517556
AC011290.5	2.657728631	2.993006451	2.156568709	2.264649868	2.301323452	1.950968278	2.501995689	2.365170966	1.964263177	2.152506875
AC011742.3	1.331850574	1.783484354	1.245107196	1.537389964	1.200180086	1.334360581	1.394096497	1.2656765	2.358947399	1.549321133
AC012066.1	2.876738672	3.503373731	2.774070331	3.437751635	3.647886002	3.692135603	3.810022712	3.878544704	2.250322208	2.585504195
AC012146.7	3.472946466	3.160006893	3.126436878	3.240196578	3.443184035	3.515906339	3.836929075	3.516192122	2.923265368	3.013866341
AC012354.8	4.122169545	4.041732322	4.156709831	4.116882472	3.94660975	4.264855899	4.179392666	4.280984017	3.923701282	4.380157605
AC012358.4	1.331850574	1.203327668	1.184266762	1.367482488	0.405361656	0.359628269	0.944210529	1.43813499	1.773340076	1.176212171
AC012512.1	1.896915015	1.989788892	1.928267463	1.553329967	1.541256356	2.148130353	1.965110618	1.717991746	1.964263177	1.97351742
AC012531.25	1.68118582	2.410124006	1.641914889	1.367482488	1.725519946	1.393854198	1.678217534	2.040577835	2.599348837	1.603100516
AC013394.2	3.987519953	3.236776236	4.100194797	4.119561529	4.012536572	3.816922732	3.823538618	3.801665458	3.245367844	3.140506544
AC013442.1	1.331850574	1.522374196	1.076791926	1.330960657	1.266530982	1.541461768	1.129727751	1.247240245	0.89200808	1.052804068
AC013449.1	5.578741934	5.434841479	5.623191894	5.412820957	5.401683187	5.725539157	5.680869611	5.576266398	5.300030718	5.41817481
AC013470.6	2.814454324	2.820833681	2.703560174	2.759702264	2.918483755	3.268195576	3.142928009	2.942263355	2.797655215	2.576570397
AC013733.5	3.060892479	3.153421168	3.031763037	2.76655565	2.671512553	3.551175449	3.046327958	2.847530988	3.317137431	2.867725256
AC015849.14	2.311953295	2.061892274	2.287676589	2.660170883	3.037268488	3.320235411	2.661015694	2.230873392	1.864606423	2.065786184
AC015849.19	1.649821569	0.723646767	1.431161996	1.732019698	1.222637824	1.558894456	1.214245327	1.171044864	2.031454419	1.026803161
AC016292.3	3.711885356	3.754652006	3.829261173	3.759672218	3.513176754	3.5292335	3.631997487	3.33600696	3.012443495	3.807958511
AC016405.1	3.601461296	3.569177428	3.564668708	3.488376412	3.323613764	3.672250255	3.569198899	3.344704359	4.103075923	3.875074817
AC016629.8	1.534344043	1.151393241	1.548452336	1.915869231	1.709708	1.593140343	1.510086594	1.635336001	1.203037886	1.354032647
AC016697.2	1.208114792	1.913891457	1.264830235	1.330960657	1.627939372	1.432195903	0.976834412	1.371604475	1.029835588	1.87494188
AC016700.4	1.551417604	1.459696894	1.51590242	1.255020548	1.449030244	1.432195903	1.755463983	1.547655346	0.948728688	1.37479484
AC016700.5	1.517066003	1.898220792	1.825768277	1.615385096	2.060779005	1.937703126	1.774146212	1.808794586	0.920647117	1.454978741
AC016708.2	2.240060257	3.113262719	2.156568709	2.592358597	2.534614366	2.795974732	2.700618951	2.706200293	2.581524002	2.867725256
AC016716.1	1.665588925	1.542675785	1.39582121	1.154103995	1.449030244	1.432195903	1.039949062	1.354481154	1.41916555	1.620590521
AC016732.2	2.82150909	2.653570614	2.21856351	2.660170883	2.773906843	2.825082994	2.848980599	2.732948069	2.507937187	2.729480256
AC016734.2	4.996898655	5.35242439	5.411685101	5.130216661	5.27310064	5.515039012	5.342050059	5.428642165	5.07169402	5.255574105
AC016739.2	8.319450137	8.228283213	8.22913181	8.406656293	8.455088744	8.573588854	8.550111409	8.500420981	7.833824712	8.195039867
AC016747.3	3.621809955	3.338982476	3.524327768	3.707205911	4.066298978	3.993970865	3.637109373	3.676351128	3.828675102	3.721446649
AC016772.4	1.445807114	1.203327668	0.960661531	1.786981578	1.627939372	1.229404835	1.697920346	2.019005103	1.398952833	1.000325041
AC016773.1	1.445807114	1.394172441	1.431161996	1.437864305	1.287986727	1.06832279	1.00873685	1.470284003	1.741588218	1.585395872
AC018463.4	1.16439326	1.394172441	0.936270024	0.97634086	1.106680944	1.675358966	1.241352256	1.19047429	1.131338533	0.917843763
AC018735.1	1.271308834	1.203327668	1.284287274	1.195321507	1.03235208	1.541461768	1.575453073	1.470284003	0.673836305	0.602886489
AC018766.5	2.164395854	1.783484354	2.069533947	2.420512106	2.168814053	1.706977813	2.176487731	2.373694826	1.773340076	2.065786184
AC018804.7	4.150458603	4.614082221	4.51684464	4.586510208	4.779171704	4.604069601	4.564581035	4.593476753	3.267833467	4.072272345
AC018865.5	2.499580584	2.234059364	2.590879686	2.9219673	2.383350783	2.237449031	2.479404394	2.277042327	2.479344777	2.688605158
AC019097.7	3.399417376	3.000364741	3.279706748	3.039799579	3.018137852	3.330421854	2.875176585	2.822843001	2.227580065	2.777049119
AC020910.2	1.408812796	1.833778401	1.076791926	1.293490208	1.505070272	1.092465224	1.658241911	1.562643863	1.315145154	1.769133729
