Gene Symbol	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
ACACA	10.1372	9.15261	10.6067	10.9371	9.88031	10.6249	9.52914	10.2624	9.37468	9.49492
ACACB	10.2946	8.59304	11.5952	10.7699	9.95532	10.1483	9.46031	9.96968	9.71962	9.49398
ACAD10	10.6171	11.055	9.37251	8.88513	10.0856	10.4396	8.55087	9.1754	10.5374	11.2814
ACAD11	10.0906	9.40961	8.19064	7.8434	10.0245	9.8827	9.9022	9.36781	12.8245	12.4641
ACAD8	10.4399	10.098	9.82993	8.92723	10.9357	11.0555	9.65257	9.62972	9.77531	9.65605
ACAD9	10.0498	9.70048	9.64217	8.8518	11.3507	11.2303	9.75205	10.4068	9.4562	9.55965
ACADL	10.6012	9.15943	9.53314	8.40664	10.5328	11.398	9.99223	10.9704	8.99506	10.4111
ACADM	10.7963	11.9343	9.03474	9.2557	10.2783	10.432	9.65488	10.0822	9.00695	9.52457
ACADS	11.8857	10.3352	8.71123	9.48382	10.1476	11.0416	9.28325	9.77773	9.61461	9.71932
ACADSB	10.525	10.8508	10.0742	9.73922	10.3087	10.2295	10.0862	10.2671	8.88883	9.03049
ACADVL	10.5155	11.2683	8.66277	8.455	11.6383	11.8525	9.05679	9.70449	9.32527	9.521
ACAP2	9.58135	8.7098	11.0322	10.6978	9.80537	10.2759	10.0334	10.4033	9.64558	9.81533
ACAP3	10.5215	8.86992	10.7926	10.471	10.9548	10.4253	8.86129	8.36127	10.8103	9.93204
ACAT1	10.0264	11.2029	9.22152	8.97703	10.8125	11.2553	10.4163	10.9768	8.44842	8.66284
ACAT2	9.77215	10.1115	10.3755	12.0373	9.54189	9.89981	9.65374	9.88287	9.42455	9.30074
ACBD3	9.67742	9.57274	9.49221	9.19123	9.8145	9.60554	10.9978	10.7792	10.423	10.4465
ACBD5	11.1058	10.7232	8.14805	8.25324	9.60757	9.4711	9.12197	9.29598	11.8022	12.4708
ACBD6	9.00787	8.18882	9.58321	9.92309	10.5089	10.8624	12.9539	13.7673	7.87044	7.33399
ACD	11.111	11.7432	9.26772	10.0706	8.63948	9.13655	10.096	10.289	9.955	9.69151
ACIN1	10.3488	12.164	9.59983	9.6768	9.89529	9.8598	9.90271	9.78949	9.06767	9.69562
ACIN1	10.3898	11.8375	9.60804	9.28336	10.6724	9.25887	9.97041	8.55949	10.2537	10.1664
ACKR3	11.208	13.0843	8.78823	10.3291	8.8248	11.7472	7.16932	8.53287	9.36532	10.9507
ACLY	9.52664	9.09799	10.3807	11.0651	9.57086	10.2849	9.5737	10.3049	9.9638	10.2315
ACLY	10.3014	8.80916	11.6787	10.2246	9.86628	9.53398	10.4293	9.21194	11.2096	8.73499
ACN9	12.9633	12.8446	10.159	9.83232	10.1664	10.3891	8.86168	9.09504	7.65156	8.03695
ACO1	9.61084	8.54174	10.5233	10.7624	10.4547	10.4924	9.7616	9.59989	10.4234	9.82974
ACO2	11.0739	12.0118	9.7023	9.93118	11.8671	12.4322	9.64849	10.655	6.14512	6.53286
ACOT1	9.90418	9.953	8.23605	11.0692	10.5269	11.3342	10.4099	10.32	8.71941	9.52719
ACOT11	9.85219	8.87184	11.2738	10.2793	10.1798	10.9172	8.22932	9.15678	10.6266	10.6132
ACOT13	9.65427	9.40786	9.07924	8.86224	11.0514	10.9222	11.4288	11.2067	9.42737	8.95989
ACOT2	9.94897	10.2298	9.63381	9.19802	11.2194	11.2129	9.51993	10.3635	9.12746	9.5461
ACOT7	9.36101	8.86588	10.3257	10.6621	10.4591	10.596	10.0624	10.3626	9.82404	9.48121
ACOT8	10.2189	10.491	9.41103	8.93142	9.90582	9.80429	9.54646	9.43946	11.5894	10.6623
ACOT9	10.6343	10.311	9.54849	9.16969	9.77745	10.4864	10.7052	11.5868	8.92976	8.85093
ACOX1	10.9348	12.0594	8.54676	9.24577	9.07234	9.63096	8.71811	8.83104	10.9482	12.0127
ACOX3	11.7983	11.3266	9.42379	8.37887	9.17344	8.91398	8.76426	8.08646	12.5364	11.5978
ACP1	8.92102	9.25382	9.20432	11.5089	9.60821	10.9548	10.7312	11.2966	8.63777	9.88331
ACP2	10.0846	10.1553	10.5749	10.0711	9.97132	10.4032	8.82765	9.96634	9.45933	10.4863
ACP6	11.4059	11.325	10.6579	11.5667	9.1218	10.283	7.7158	8.35087	9.83982	9.73306
ACSF2	9.62217	9.972	8.25965	10.664	12.2478	8.69191	7.81993	10.1947	10.3873	12.1404
ACSF3	9.07365	8.98142	9.50109	8.75977	10.9946	11.385	10.7399	10.5143	10.14	9.91016
ACSL1	10.9044	10.6256	10.4404	9.81833	8.88521	9.29991	9.4857	9.25631	10.5535	10.7307
ACSL3	10.7929	10.4231	10.6333	9.54797	9.61814	9.42783	8.30247	8.19871	11.9324	11.1231
ACSL4	11.2427	10.6444	10.0142	9.07036	9.88808	9.21172	8.34841	8.06223	12.2376	11.2802
ACSS2	9.11889	8.51212	9.99344	10.7192	10.4949	10.7021	9.28797	10.9578	9.89201	10.3216
ACTA2	9.80117	9.70438	10.0894	10.9033	9.9786	9.94597	10.2725	9.79028	9.52522	9.98909
ACTB	9.99836	10.0162	9.98333	10.4152	9.7138	10.2128	9.83664	10.1287	9.71481	9.98013
ACTG1	9.27971	9.36434	9.83711	10.0646	10.5635	10.2822	10.5355	11.1618	9.54384	9.36737
ACTL6A	11.0004	10.1501	11.1078	9.71003	9.75595	9.11044	9.81072	9.3211	10.4504	9.58303
ACTN1	9.75261	11.3716	9.51553	10.6673	9.62924	9.89312	10.1624	9.69156	9.59089	9.72577
ACTN4	10.1125	10.7089	10.2289	10.3439	9.7103	9.86141	9.87761	9.50828	9.92101	9.72711
ACTN4	9.41395	10.7066	10.3943	10.2686	8.99817	11.1482	9.02531	9.60119	10.1073	10.3364
ACTR10	10.314	9.77403	9.62248	9.79918	10.4455	9.33174	10.6505	9.94916	10.4379	9.67555
ACTR1A	10.237	9.44764	10.3818	10.981	9.69842	9.87539	9.71804	10.1337	9.88118	9.64581
ACTR1B	10.8777	10.4997	8.65057	11.9206	8.7727	10.2476	8.91533	10.1697	9.14932	10.7967
ACTR2	9.61219	8.95837	10.2074	11.3962	9.79121	10.1446	9.94609	9.9298	9.78705	10.2272
ACTR3	9.87988	9.09945	10.2934	10.3704	10.1679	9.97137	9.9292	9.93563	10.3656	9.98724
ACTR3B	9.62545	8.87406	10.8003	10.0794	10.1457	10.3248	10.1225	10.0588	10.1545	9.81458
ACTR5	10.9316	10.6158	10.3056	10.1468	9.57248	9.68142	10.3439	9.72891	9.35641	9.31708
ACTR6	11.5584	10.0739	9.99205	9.60788	8.9986	10.0464	9.87834	9.57146	10.0774	10.1956
ACTR8	9.63531	9.74029	9.67808	9.30313	11.3234	11.5402	10.228	10.5986	9.01352	8.93943
ACVR1	10.5783	11.5941	8.32781	9.78539	9.51278	10.6902	8.51771	8.81905	9.65253	12.5221
ACY1	8.79364	7.5554	12.4867	11.8482	10.4305	10.942	10.532	10.6123	8.46987	8.32945
ACYP1	9.77121	10.0013	10.9688	11.9192	9.29192	10.5582	8.4172	10.1951	9.21184	9.66513
ACYP2	8.79043	8.04212	10.4335	10.7566	11.2824	10.5827	10.3563	10.1293	9.95125	9.67535
ADA	8.45695	9.48873	11.7704	9.54984	10.9644	10.0535	10.7227	9.95038	10.7302	8.31296
ADAL	8.67503	8.60455	10.9087	11.7523	10.1743	10.2849	9.99171	10.7956	9.69782	9.11514
ADAM10	10.0049	10.4678	9.64781	9.57274	8.9995	9.19306	10.0059	9.95122	11.1829	10.9741
ADAM12	13.5998	12.5422	10.714	8.58909	6.1161	7.07731	7.88655	7.67523	12.4326	13.3671
ADAM15	10.6945	11.1688	9.60203	10.8746	8.99837	9.81625	8.28264	9.45956	10.2707	10.8326
ADAM17	9.16721	10.3274	8.54774	9.23965	10.0195	10.9538	9.23856	10.2021	10.7637	11.5403
ADAM22	11.6549	12.5793	10.2713	10.7096	7.41815	8.04059	7.24322	7.48797	12.4586	12.1365
ADAM9	11.4404	12.845	9.26969	10.9704	8.202	8.9797	8.34997	8.68361	10.1413	11.118
ADAMTS1	10.6472	10.5291	8.58789	8.63483	10.3247	11.2282	11.5851	11.4149	8.43746	8.61057
ADAR	10.3085	10.627	10.1958	9.74133	9.95119	9.64291	10.0331	9.56415	9.96266	9.97325
ADARB1	9.69015	10.4434	9.27362	9.8404	8.91339	10.9389	10.4702	12.4653	8.43634	9.52817
ADAT1	9.13906	8.45209	11.0755	10.3675	10.2217	9.98025	10.6588	10.7766	9.8622	9.46624
ADAT2	7.61232	7.96054	12.1024	12.1408	9.51588	11.8885	10.1038	11.5121	7.85285	9.31094
ADAT3	8.93458	9.80073	10.5291	11.0647	9.50439	11.1089	10.9825	9.93426	9.57076	8.57002
ADCK3	11.8701	10.3532	11.755	10.4733	9.88619	9.52815	8.04731	7.66931	10.3719	10.0456
ADCK4	12.2346	11.8353	9.67273	9.4855	8.73447	9.62479	8.57743	9.64895	10.2332	9.95301
ADCY3	11.4787	11.4683	9.98204	9.85415	9.39128	9.8948	9.19623	8.9261	10.3888	9.41956
ADCY6	9.6244	8.99309	9.28434	9.00929	9.51266	8.4119	7.96525	7.77459	15.0442	14.3803
ADCY9	10.4809	10.6396	9.76674	9.81622	9.26348	9.98393	9.54777	10.14	9.89701	10.4644
ADD1	10.7432	10.3029	9.50601	9.90658	8.96156	9.15181	8.44615	8.66663	11.9437	12.3715
ADD3	10.3427	10.1376	9.67422	9.03585	9.55731	9.64643	8.44146	8.49103	12.2229	12.4505
ADD3	10.7803	10.8673	9.201	9.20226	8.4507	7.54312	8.38816	8.23376	14.1406	13.1927
ADH5	9.28268	8.28184	11.5005	10.7734	10.4232	10.0768	10.4863	10.6353	9.56792	8.97215
ADI1	9.58618	8.81805	12.1063	10.9397	10.4044	10.589	11.6036	10.4559	8.23106	7.26582
ADIPOR1	7.93791	7.45604	11.2614	9.79432	6.63901	7.51502	7.60588	8.33891	15.5318	17.9197
ADIRF	11.3578	8.41658	10.1522	10.7939	11.7295	8.97883	10.0725	9.37475	9.60007	9.52385
ADK	9.27664	8.15169	10.9928	10.6079	10.796	10.2075	11.2905	10.6499	9.52215	8.50485
ADNP	11.0915	11.9997	10.2588	9.77588	9.53594	9.2613	9.37273	8.90698	9.85531	9.94177
ADNP2	10.4593	11.7257	8.29575	8.95945	10.1606	9.75824	10.2032	10.238	9.43964	10.7601
ADO	9.23139	8.80455	10.627	9.74401	10.6748	10.7954	10.6707	10.8708	9.46997	9.1113
ADPGK	10.5701	9.04651	11.5119	9.15961	10.2685	9.05755	9.23806	8.99643	11.1935	10.9577
